ID;Risk;Docility;Exploration;Sex;Number_captures
J086;40;1;125;M;50
L003;20;30;62;F;101
L007;60;11;54;M;82
L101;60;53;42;M;53
N004;40;2;48;M;38
N018;40;7;74;M;51
N065;40;6;58;M;41
N070;40;0;66;M;22
N095;40;5;51;F;72
N124;60;60;64;F;57
P006;60;0;46;M;24
P014;20;15;95;F;35
P033;40;8;65;F;17
P036;20;5;10;F;7
P037;40;52;51;F;24
P055;20;5;30;F;13
P056;20;2;85;F;11
P057;60;10;68;F;21
Q001;40;60;0;F;24
Q005;20;5;50;F;11
Q007;20;1;NA;F;10
Q011;40;2;50;F;16
Q017;40;4;28;M;17
Q027;20;6;57;F;13
Q028;60;0;42;M;22
Q031;60;0;44;F;9
Q034;40;3;65;F;16
Q041;60;5;20;F;14
Q045;20;8;60;M;14
Q061;60;9;38;F;11
Q066;20;1;20;M;20
Q081;60;24;0;F;15
Q088;20;26;72;M;7
Q090;60;13;14;F;13
R002;60;3;12;M;6
R003;20;0;3;F;10
R010;40;4;72;M;14
R011;60;4;56;F;9
R012;20;3;51;F;10
R014;40;0;59;M;6